	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YHR216W	IMD2	32.99	63.49	27.91	15.15	35.85	55.19	43.01
YIL164C	NIT1	6.89	8.49	39.42	17.64	8.84	6.19	6.1
YIL162W	SUC2	29.09	27.62	122.3	29.03	21.63	21.28	27.42
YIL159W	BNR1	7.1	5.3	21.55	5.82	6.18	3.91	3.54
YIL158W	YIL158W	5.79	8.76	15.45	6.82	6.31	6.12	14.91
YIL157C	COA1	15.33	13.58	125.99	29.27	7.75	6.27	11.4
YIL155C	GUT2	7.19	9.82	31.53	3.75	4.47	11.31	7.87
YIL154C	IMP2'	9.6	12.98	94.47	31.46	35.28	25.55	19.62
YIL153W	RRD1	8.39	10.09	24.35	5.65	6.56	9.47	11.44
YIL149C	MLP2	10.65	9.86	27.9	12.25	3.32	5.83	11.1
YIL147C	SLN1	11.43	15.08	22.77	7.82	13.76	11.92	7.41
YIL145C	PAN6	9.77	12.33	53.92	13.71	10.25	12.04	10.55
YIL144W	TID3	4.58	6.23	20.9	0.23	0.23	5.68	4.97
YIL143C	SSL2	7.38	9.16	41.22	8.08	8.07	11.5	8.9
YIL142W	CCT2	20.93	20.87	61	27.03	14.53	22.05	19.65
YIL140W	AXL2	8.95	9.73	17.42	1.91	4.34	3.56	4.47
YIL139C	REV7	12	13.56	29.71	5.24	3.01	8.68	6.95
YIL138C	TPM2	12.76	13.07	21.87	5.07	9.9	14.5	10.18
YIL137C	TMA108	24.52	26.31	53	14.05	24.34	26.86	25
YIL135C	VHS2	5.96	4.11	12.93	1.32	2.47	8.88	10.39
YIL134W	FLX1	10.93	9.95	20.05	5.14	4.07	2.66	11.92
